date,month,us_tweets,us_wpt,ind_tweets,ind_wpt,uk_tweets,uk_wpt,sgp_tweets,sgp_wpt
1,Jan,0,0.0,0,0.0,0,0.0,0,0.0
2,Jan,0,0.0,0,0.0,0,0.0,0,0.0
3,Jan,0,0.0,0,0.0,0,0.0,0,0.0
4,Jan,0,0.0,0,0.0,0,0.0,0,0.0
5,Jan,0,0.0,0,0.0,0,0.0,0,0.0
6,Jan,0,0.0,0,0.0,0,0.0,0,0.0
7,Jan,0,0.0,0,0.0,0,0.0,0,0.0
8,Jan,0,0.0,0,0.0,0,0.0,0,0.0
9,Jan,0,0.0,0,0.0,0,0.0,0,0.0
10,Jan,0,0.0,0,0.0,0,0.0,0,0.0
11,Jan,3,25.666666666666668,0,0.0,1,34.0,0,0.0
12,Jan,0,0.0,0,0.0,0,0.0,0,0.0
13,Jan,1,47.0,0,0.0,0,0.0,0,0.0
14,Jan,0,0.0,0,0.0,0,0.0,0,0.0
15,Jan,0,0.0,0,0.0,0,0.0,0,0.0
16,Jan,0,0.0,0,0.0,0,0.0,0,0.0
17,Jan,3,13.666666666666666,0,0.0,0,0.0,0,0.0
18,Jan,1,35.0,0,0.0,0,0.0,1,28.0
19,Jan,1,16.0,0,0.0,0,0.0,0,0.0
20,Jan,4,26.5,1,11.0,2,17.5,0,0.0
21,Jan,10,21.4,4,37.0,0,0.0,0,0.0
22,Jan,34,17.58823529411765,7,18.428571428571427,7,18.857142857142858,0,0.0
23,Jan,67,20.17910447761194,6,16.833333333333332,11,18.636363636363637,2,32.0
24,Jan,87,22.20689655172414,22,26.09090909090909,12,21.416666666666668,1,13.0
25,Jan,70,20.014285714285716,10,16.4,6,21.666666666666668,1,13.0
26,Jan,109,19.091743119266056,12,21.083333333333332,13,25.53846153846154,0,0.0
27,Jan,4998,22.795518207282914,423,21.77304964539007,698,22.396848137535816,109,20.81651376146789
28,Jan,12264,21.54052511415525,3252,22.480319803198032,2020,21.76138613861386,936,21.048076923076923
29,Jan,12758,21.603150964100955,2947,22.642008822531388,2181,21.40302613480055,877,21.562143671607753
30,Jan,15478,21.59264762889262,3892,22.33812949640288,2918,21.057573680603152,923,21.33694474539545
31,Jan,14993,21.6225571933569,4142,22.70931916948334,4366,20.908841044434265,930,21.024731182795698
1,Feb,10139,21.769405266791598,3280,24.14268292682927,2006,21.63160518444666,583,20.0926243567753
2,Feb,9962,21.773539449909656,3842,24.963560645497136,1873,21.987720234917244,569,21.203866432337435
3,Feb,10221,22.008316211720967,3556,22.82199100112486,1967,22.422470767666496,638,21.478056426332287
4,Feb,9571,22.117333611952773,2990,22.684615384615384,1730,21.483236994219652,744,22.443548387096776
5,Feb,9147,21.77107248278124,2358,23.005513146734522,1806,21.630121816168327,752,21.55851063829787
6,Feb,9550,22.005968586387436,2418,22.996691480562447,2056,21.55933852140078,737,22.05020352781547
7,Feb,10553,21.926276888088694,2613,22.968618446230387,1956,22.194274028629856,943,21.033934252386
8,Feb,1932,21.42184265010352,512,22.1484375,197,21.598984771573605,297,19.488215488215488
9,Feb,76,23.25,14,18.714285714285715,13,22.692307692307693,6,20.5
10,Feb,6297,22.313800222328094,1051,22.91056137012369,1669,22.015578190533255,324,20.333333333333332
11,Feb,9977,22.33396812669139,2029,22.151306062099557,2228,22.706463195691203,857,20.567094515752625
12,Feb,8610,21.903484320557492,2133,22.879981247069853,2191,22.317663167503422,725,20.451034482758622
13,Feb,10167,21.999606570276384,2384,22.368708053691275,2322,22.031007751937985,669,20.424514200298955
14,Feb,8194,22.212838662435928,2016,22.5828373015873,1995,21.63809523809524,626,20.940894568690094
15,Feb,6374,22.039692500784437,1588,21.78589420654912,1389,21.800575953923687,459,20.681917211328976
16,Feb,6475,22.49065637065637,1475,23.147118644067795,1246,22.14526484751204,303,21.983498349834985
17,Feb,8189,22.038954695322996,1946,22.940390544707093,1346,22.560178306092126,461,21.082429501084597
18,Feb,8338,22.36711441592708,2195,23.349430523917995,1580,22.292405063291138,511,22.058708414872797
19,Feb,7312,22.498495623632387,1540,23.29805194805195,1269,22.416075650118202,428,22.114485981308412
20,Feb,6906,22.685780480741386,1504,23.2094414893617,1232,21.792207792207794,434,21.506912442396313
21,Feb,9009,22.327894327894327,1540,22.532467532467532,1344,21.617559523809526,470,20.323404255319147
22,Feb,8250,22.346545454545456,1625,23.395076923076925,1240,21.962903225806453,301,20.73421926910299
23,Feb,8786,22.360004552697472,1558,23.29910141206675,1622,22.34340320591862,323,21.21362229102167
24,Feb,15332,22.773610748760763,1881,22.700159489633172,2544,22.69889937106918,558,21.238351254480285
25,Feb,20847,23.425001199213316,1838,22.335146898803046,2931,22.52200614124872,520,22.171153846153846
26,Feb,24378,23.140331446386085,1794,22.35284280936455,3346,22.32994620442319,475,21.11578947368421
27,Feb,12470,23.239534883720932,1385,22.418772563176894,1608,22.47450248756219,345,21.68695652173913
28,Feb,577,24.31889081455806,36,20.333333333333332,75,22.253333333333334,8,15.5
29,Feb,473,23.610993657505286,36,18.083333333333332,44,24.181818181818183,3,20.666666666666668
1,Mar,12348,23.04008746355685,1620,22.098765432098766,2119,23.17602642756017,314,23.085987261146496
2,Mar,18567,23.112349868045456,3399,22.347160929685202,3358,23.57921381774866,553,22.334538878842675
3,Mar,13749,23.08764273765365,5663,22.014833127317676,4045,23.89221260815822,535,21.465420560747663
4,Mar,18900,22.775449735449737,8305,22.879470198675495,5837,22.835360630460855,537,21.99441340782123
5,Mar,28167,23.261866723470728,7297,22.893243798821434,6752,23.15151066350711,651,21.13364055299539
6,Mar,35467,22.990949333182957,6530,22.502756508422664,7140,23.21764705882353,759,21.59552042160738
7,Mar,16898,22.528524085690613,3961,22.559202221661195,3319,22.576679722808073,489,23.468302658486706
8,Mar,30317,22.98387043572913,4006,22.611083374937593,5605,22.64906333630687,597,20.89782244556114
9,Mar,34089,23.48006688374549,5074,23.17540402049665,5979,23.4025756815521,575,21.883478260869566
10,Mar,29873,23.287015030294913,3112,23.08194087403599,5636,23.114797728885733,463,21.77753779697624
11,Mar,30876,23.002558621583105,4096,22.95361328125,6155,23.13826157595451,502,21.739043824701195
12,Mar,32506,22.486802436473265,3645,23.12729766803841,5693,23.18935534867381,354,22.75423728813559
13,Mar,48640,23.119490131578946,7432,24.16200215285253,9621,24.289367009666353,420,22.185714285714287
14,Mar,44736,23.056330472103003,7554,24.50688377018798,9775,24.54854219948849,393,22.46564885496183
15,Mar,45228,23.840275935261342,7451,24.571735337538584,10178,24.877480841029673,463,23.788336933045358
16,Mar,49651,24.21260397575074,8319,25.8282245462195,11656,25.583819492107068,549,23.0
17,Mar,50438,23.74271382687656,8865,25.146305696559505,12511,25.262009431700104,585,23.52991452991453
18,Mar,51975,24.13929773929774,9306,25.569525037610145,11989,25.007757110684793,600,23.598333333333333
19,Mar,51412,23.936065509997665,11014,25.495823497366988,11335,25.24561093956771,574,24.0
20,Mar,51582,24.14842386879144,11103,26.064667207061156,12316,25.85238713868139,557,23.953321364452425
21,Mar,48460,24.108666941807677,17680,27.92720588235294,10578,24.7161089052751,616,22.491883116883116
22,Mar,49177,24.131484230432925,17612,26.538212582330228,10374,25.368324657798343,505,23.641584158415842
23,Mar,54112,24.634517297457126,14762,25.995664544099714,11910,25.668849706129304,581,23.290877796901892
24,Mar,58901,24.820053988896625,17409,25.78758113619392,12535,25.816354208216993,705,24.405673758865248
25,Mar,58866,24.390734889409845,15447,25.966012818022918,13794,25.722778019428738,879,23.523321956769056
26,Mar,60429,24.580052623740258,17907,26.254202267269783,13511,25.966323736214935,833,24.286914765906364
27,Mar,62492,24.50145618639186,17602,25.597716168617204,14146,25.043192421886044,796,23.97613065326633
28,Mar,49205,24.482125800223553,17327,26.072199457494083,11150,25.65677130044843,533,23.891181988742964
29,Mar,50295,24.923411869967193,16187,26.647680237227405,10734,25.839388857834916,585,23.75042735042735
30,Mar,54008,25.277569989631164,17050,26.779824046920822,12780,26.056103286384978,761,24.49934296977661
31,Mar,56148,25.420905464130513,16395,26.772125648063433,12087,26.450649458095473,638,23.681818181818183
1,Apr,61182,25.346932104213657,16525,26.49119515885023,13489,26.68337163614797,792,24.708333333333332
2,Apr,58978,25.133168300044083,15807,27.124501802998672,12935,26.775415539234636,710,23.485915492957748
3,Apr,60475,25.474146341463413,17824,27.343806104129264,14031,26.951607155584064,912,24.88157894736842
4,Apr,55487,25.503108836303998,17553,27.113484874380447,11956,26.514469722315155,682,25.00439882697947
5,Apr,57512,25.23725483377382,19183,27.526403586508888,14308,25.99937098126922,766,25.39425587467363
6,Apr,61726,25.248679648770374,18156,26.58807005948447,14504,25.892167677881964,901,25.915649278579355
7,Apr,62652,24.96239545425525,18101,27.164355560466273,14514,26.520738597216482,910,24.532967032967033
8,Apr,66378,25.280348910783694,17885,26.876656415991054,16107,26.54541503694046,988,24.66497975708502
9,Apr,57531,25.091602788062087,17058,26.850861765740415,15193,26.51958138616468,873,24.22451317296678
10,Apr,64213,25.267157740644418,19061,26.385918891978385,13899,26.156989711490034,815,24.479754601226993
11,Apr,53023,25.10029609791977,19531,26.263324970559623,14154,26.545358202628233,760,23.12236842105263
12,Apr,55062,25.25135302023174,19860,26.24224572004028,15346,26.407272253355924,869,24.151898734177216
13,Apr,65752,25.508045382649957,20308,26.82425645065984,15020,26.53901464713715,1047,24.18815663801337
14,Apr,65790,25.734686122511018,20711,27.216793008546183,16472,27.298445847498787,988,24.736842105263158
15,Apr,63369,25.939970648108698,18746,27.224421209858104,16152,27.012134720158496,939,26.028753993610223
16,Apr,67759,25.915642202511844,20540,27.693427458617332,16711,27.737717670995153,983,25.16581892166836
17,Apr,60637,25.838300047825584,18314,27.266845036584034,15884,27.484827499370436,995,24.74572864321608
18,Apr,82500,25.701042424242424,28389,27.326957624431998,22636,26.29289627142605,1117,24.594449418084153
19,Apr,60718,25.408989097137585,19724,26.95918677752991,16056,26.510712506228202,837,24.060931899641577
20,Apr,67582,25.63793613684117,23144,27.402350501209817,18433,26.693104757771387,1176,24.76360544217687
21,Apr,69446,25.545589378797914,20185,27.213029477334654,16050,26.67545171339564,1171,24.684884713919725
22,Apr,72991,25.455494513022153,19974,27.42209872834685,16682,27.338328737561444,1083,25.039704524469066
23,Apr,72437,25.716388033739662,19689,27.405302453146426,16844,27.83905248159582,1049,25.475691134413726
24,Apr,75318,25.053692344459492,21904,27.723520818115414,18003,26.608898516913847,1071,25.103641456582633
25,Apr,62713,24.91703474558704,20547,26.807271134472185,14627,26.285841252478292,931,25.830290010741138
26,Apr,12709,24.368242977417577,2522,26.550753370341,947,24.010559662090813,180,24.227777777777778
27,Apr,0,0.0,0,0.0,0,0.0,0,0.0
28,Apr,0,0.0,0,0.0,0,0.0,0,0.0
29,Apr,0,0.0,0,0.0,0,0.0,0,0.0
30,Apr,0,0.0,0,0.0,0,0.0,0,0.0
